epoch, train_accuracy, test_accuracy
1, 0.8647500276565552, 0.8595000505447388
2, 0.8784833550453186, 0.8678000569343567
3, 0.8851333260536194, 0.8618000149726868
4, 0.8918499946594238, 0.8730000257492065
5, 0.8967500329017639, 0.872700035572052
6, 0.8999666571617126, 0.8717000484466553
7, 0.9050333499908447, 0.8786000609397888
8, 0.9072999954223633, 0.8752000331878662
9, 0.9117000102996826, 0.888200044631958
10, 0.9133666753768921, 0.879800021648407
11, 0.916283369064331, 0.8874000310897827
12, 0.9187666773796082, 0.8735000491142273
13 ,0.9221000075340271, 0.8865000605583191
14 ,0.9234499931335449, 0.8842000365257263
15 ,0.9247166514396667, 0.8890000581741333
16 ,0.9266833662986755, 0.889400064945221
17 ,0.9300833344459534, 0.8845000267028809
18 ,0.9301666617393494, 0.8893000483512878
19 ,0.933983325958252, 0.89000004529953
20 ,0.9348500370979309, 0.8826000690460205
21 ,0.9354833364486694, 0.8897000551223755
22 ,0.9365500211715698, 0.8814000487327576
23 ,0.9382666945457458, 0.8817000389099121
24 ,0.9405166506767273, 0.8847000598907471
25 ,0.9417499899864197, 0.8890000581741333
26 ,0.9430333375930786, 0.8865000605583191
27 ,0.9451833367347717, 0.8790000677108765
28 ,0.9464166760444641, 0.8844000697135925
29 ,0.9466666579246521, 0.8885000348091125
30 ,0.947350025177002, 0.8896000385284424
31 ,0.9485166668891907, 0.8904000520706177
32 ,0.9486333727836609, 0.8797000646591187
33 ,0.9505500197410583, 0.8856000304222107
34 ,0.9512667059898376, 0.8881000280380249
35 ,0.9527000188827515, 0.8869000673294067
36 ,0.953000009059906, 0.8866000175476074
37 ,0.954800009727478, 0.8877000212669373
38 ,0.9544000029563904, 0.8847000598907471
39 ,0.9564666748046875, 0.8887000679969788
40 ,0.9571666717529297, 0.8891000151634216
41 ,0.9573333263397217, 0.8857000470161438
42 ,0.9579499959945679, 0.8871000409126282
43 ,0.9598667025566101, 0.8909000158309937
44 ,0.9588833451271057, 0.8851000666618347
45 ,0.9611833691596985, 0.8857000470161438
46 ,0.9615166783332825, 0.8858000636100769
47 ,0.9615166783332825, 0.8881000280380249
48 ,0.9628999829292297, 0.8862000703811646
49 ,0.9630500078201294, 0.8862000703811646
